# referencia de ruido: PSD promedio de los archivos de Datos/Ruido (Welch, notch 60Hz)
freq_hz,psd_medio
223.5,6.58219735088582e-07
224.0,5.232091453200052e-07
224.5,5.238784058104407e-07
225.0,5.846589027013043e-07
225.5,5.684781540637712e-07
226.0,5.712933487982009e-07
226.5,7.163775361892445e-07
227.0,6.730202575604795e-07
227.5,5.763042038997854e-07
228.0,5.853347030947572e-07
228.5,6.150507953653705e-07
229.0,7.431581264341982e-07
229.5,3.0877568997702006e-06
230.0,7.776351904084533e-06
230.5,2.5312751642370086e-06
231.0,7.024845256793311e-07
231.5,6.428277974828432e-07
232.0,6.294406629584942e-07
232.5,6.336657246992953e-07
233.0,7.582675345440814e-07
233.5,7.552482234392896e-07
234.0,6.509817639582314e-07
234.5,6.321677660674018e-07
235.0,6.301398028920272e-07
235.5,6.42252063404263e-07
236.0,6.713923803475623e-07
236.5,7.445838615015339e-07
237.0,7.697341009278475e-07
237.5,8.16418581154323e-07
238.0,8.808856160585751e-07
238.5,1.0109639127240263e-06
239.0,2.189752020538658e-06
239.5,0.0001713219924682064
240.0,0.0005390410387548177
240.5,0.0001321276278719774
241.0,1.5773187352799484e-06
241.5,9.489066992861197e-07
242.0,7.977510944459469e-07
242.5,7.47799698413272e-07
243.0,7.840234150866138e-07
243.5,7.43231429298879e-07
244.0,7.072467133859621e-07
244.5,6.552295081073475e-07
245.0,6.081295622305553e-07
245.5,6.434442798709035e-07
246.0,6.677181173826409e-07
246.5,7.518347906012273e-07
247.0,6.892882759290814e-07
247.5,6.266252030876529e-07
248.0,6.863253862914069e-07
248.5,6.547733272050057e-07
249.0,7.315903803570973e-07
249.5,2.709050073287659e-06
250.0,7.201880570510761e-06
250.5,2.455649864812815e-06
251.0,6.570251507657783e-07
251.5,5.750813859439798e-07
252.0,5.978464771033555e-07
252.5,5.953771103847601e-07
253.0,6.043988595066459e-07
253.5,5.770661744232622e-07
254.0,5.037040724889084e-07
254.5,4.915425456662165e-07
255.0,5.038770019251516e-07
255.5,4.94985360005587e-07
256.0,5.301608071848944e-07
256.5,5.840334432690635e-07
257.0,5.263589204126628e-07
257.5,4.7539644520485693e-07
258.0,4.819182181006245e-07
258.5,5.077379125233084e-07
259.0,5.647688491249878e-07
259.5,1.1567297311338522e-06
260.0,2.2386415399154775e-06
260.5,9.544100461970903e-07
261.0,4.769853759533765e-07
261.5,4.499846375729692e-07
262.0,4.5505487068724926e-07
262.5,5.17954331301794e-07
263.0,5.252822272598714e-07
263.5,4.95174185721943e-07
264.0,4.5309655374842216e-07
264.5,4.495566172739078e-07
265.0,4.464932350685021e-07
265.5,4.554952346287234e-07
266.0,4.692200028597242e-07
266.5,5.533314759612139e-07
267.0,4.934182129513326e-07
267.5,4.282442186864074e-07
268.0,4.424747822990409e-07
268.5,4.560253348726779e-07
269.0,4.848040862376446e-07
269.5,7.110409215541977e-07
270.0,1.1233841769534433e-06
270.5,6.11347182139144e-07
271.0,4.256290676999479e-07
271.5,4.02133397610923e-07
272.0,4.072428109086868e-07
272.5,4.257802247469189e-07
273.0,4.784605771616221e-07
273.5,4.7013595072996614e-07
274.0,4.2493226743109286e-07
274.5,4.1922460576959227e-07
275.0,4.703161972393357e-07
275.5,4.4362093783454806e-07
276.0,4.328120386926946e-07
276.5,4.819377884726986e-07
277.0,4.447851293650864e-07
277.5,3.952232291509345e-07
278.0,3.9289592812921766e-07
278.5,4.056986273120026e-07
279.0,4.676930279624612e-07
279.5,7.552742239302256e-07
280.0,1.1850359805317355e-06
280.5,6.165734871358349e-07
281.0,4.3252894922442214e-07
281.5,4.124106339633855e-07
282.0,4.0890925581554246e-07
282.5,4.111053360432521e-07
283.0,4.6777151449779914e-07
283.5,4.5206068225546426e-07
284.0,3.9072757990770884e-07
284.5,3.7626228249283487e-07
285.0,3.7850189901024864e-07
285.5,4.0795891353139055e-07
286.0,4.288236526508652e-07
286.5,4.611679545032982e-07
287.0,4.5947290698465534e-07
287.5,4.581236664222824e-07
288.0,4.0997118054884813e-07
288.5,4.0566506001724345e-07
289.0,4.2447445351533214e-07
289.5,8.036565536084758e-07
290.0,1.437647318651435e-06
290.5,6.729049142256415e-07
291.0,4.5731487663294983e-07
291.5,4.361450407092832e-07
292.0,4.183736419633819e-07
292.5,4.2722655425473636e-07
293.0,4.487430454646623e-07
293.5,4.358318604062864e-07
294.0,4.198594140441794e-07
